Wine;Number of reviews;Summary
Vintage;122;"It's in the soft, rich and ripe style of the year; its flavors of black plum juice and sweet berry have a rounded character, with underlying structure that promises good aging. While 2011 has been widely seen as one of the great Port vintages for long-term aging, there are also wines, like this, that are so attractive they can be drunk early. Based on the Roêda vineyard, this opulent, fruity wine is dense, beautifully ripe, a powerhouse of sweet fruit, figs and raisins, plum jelly and the roundest, most generous tannins."
Single Vineyard;123;This medium-bodied wine shows a remarkable evolution on the palate, where it accelerates through tight, reined-in notions of gun flint and vague leafiness to pinwheels of pink grapefruit and tomato leaf by the long finish. Fresh, light aromas of raspberry and milk chocolate give the wine legitimacy, but for the most part it's simply a lean, sassy Pinot with racy red-fruit flavors, warmth and a touch of sweet oak. This is on the more herbal side of the Sauvignon Blanc spectrum, showing obvious notes of tomato leaf and boxwood, but there's ample white grapefruit to back up those green elements.
Réserve;141;The Cazes family, which owns the Michel Lynch brand (as well as Château Lynch-Bages), also has vineyards in the Graves, and this well-rounded, spice- and pear-flavored wine draws on good vineyard contacts in that region. A solid, well-made white at a bargain price, this medium-bodied blend of Viognier, Grenache Blanc, Roussanne and Marsanne delivers mixed citrus aromas and flavors, accented by just a hint of pith on the finish. A French version of a brand that is more familiar in Chile as Viña San Esteban, this wine has more stylistically to do with South America than southwest France.
Rosé;155;It starts with layers of cherry, flowers and strawberry on the nose, then offers a combination of fresh fruit and peppery spice on the palate Overall it has a zippy, clean character that is well balanced and substantial. This wine is lively and fresh but the exuberant surface is supported by a firm and taut structure of subtle autolysis that provides the perfect backdrop for all the tart, refreshing berry fruit. Although this blend of 52% Chardonnay and 48% Pinot Noir is fruit-driven and on the round and creamy side of things, it's still a well-made, attractive rosé that should find wide appeal.
Rosé of;160;A partnership between Julia Jackson of Jackson Family Wines and Hélène Seillan, whose mentor is her father, Pierre Seillan of Vérité, this wine is lithe and complex, made from 100% Cabernet Franc, and shows plum and tangerine atop layered, pronounced acidity and a depth of weight that belies its lightness of being. Made from both grapes directly pressed into wine as well as bled off, this crisply complex offering is springtime in a glass, a soft and supple evoking of fresh-cut pineapple that remains dry and delicious without ever overreaching. A deep mauve in color, so much it could be mistaken for a light red wine, this wine offers baked cherry, warm plum fruit and a touch of iron on the nose.
Extra Dry;188;"Vintner Guglielmo Bortolomiol (not to be confused with the Prosecco estate of the same name) delivers a dry, tonic sparkler with steely effervescence and soft tones of yellow fruit and spring flower. This is a tight and firm style of Prosecco with lively perlage and aromatic characteristics that veer towards talc powder and white flower more than they do peachy fruit or honey. There’s a delicacy and lightness to the body, but the intensity of its flavors is assaultive; it’s a combination of peaches, warm cheese and a hint of something very dry and citrusy."
Old Vine;204;The partnership with Winemaker Guy Davis of Davis Family Vineyards sources from three old-vine sites, including Doug Rafanelli's, to make a balanced wine marked by savory black olive, black pepper and a strong current of Italian deli aromas and flavors. Aromas of minty berries, tobacco, rustic leather and a very strong camphor scent introduce the nose, and then a lively, quite foamy acidity consumes the palate, where flavors of sweet berries are cut by garden herbs and pepper. A great representative of Australian Grenache, with flavors of black fruit, road tar and raspberry liqueur fading to a palate of brambly fruit, all of which is couched in mocha and vanilla tones from toasty French oak.
Tradition;213;This is Capture's unoaked Sauvignon Blanc, although it was aged on the lees, lending the wine a rich creaminess to the very ripe lemon, lime and tropical fruit flavors, which taste a bit sweet on the finish. Robust in black pepper and intense black fruit, this has a tension of freshness and red cherry, making for a complex and intriguing wine with noticeable structure and a refreshing finish. Made from organically grown grapes, this blend of 30% Syrah, 30% Mourvèdre, 30% Grenache and 10% Carignan boasts a pleasant balance of ripe black-fruit tones and earthy, herbal hints of garrigue.
Gran Reserva;247;"Take a cool year like 2010—which is tough to begin with—on a late ripener like Cabernet, and throw in a ton of char and burnt oak, and what you get is a wine that smells like a smoldering campfire. Stewy, earthy and muddled on the nose, this gran reserva from a notoriously cold and wet vintage comes across as forced, as if long hangtime was sought to offset poor weather conditions. This Cabernet feels saturated, pure and deep; flavors of blackberry, cassis, prune and chocolate are ripe and generous, while the finish is mildly herbal in flavor, with good length and build."
Barrel Sample;249;Promoted to Saint-Emilion's elite Premier Grand Cru Classé category, Valandraud's 2012 shows both a mineral character and intense acidity to go with the smooth and beautiful black currant fruits. One of the largest vineyards in the Médoc, Larose Trintaudon has produced a reliable, attactively fruity wine with soft tannins, blackberry-juice flavors and a crisp acidity at the end. Made from grapes grown in a specific parcel in the Léoville Las Cases vineyard, Clos du Marquis is a ripe wine that's also promises seriously good aging.
Brut Rosé;255;Extremely fresh and lively aromas of soft strawberry and lime pith combine to make a very racy edge to the nose of this bottling from the pioneering property, which was founded as a bubbly house in the early 1980s. Made from a majority of Pinot Noir grapes from several estate vineyards, as well as Chardonnay and a smidgen of Pinot Meunier, this sparkling rosé offers flavors of creamy strawberry and raspberry, the fruit ripe and succulent. This is a soft and sophisticated sparkling blend of Pinot Nero and Chardonnay (in a rosé version) that opens with a delicate pink color and pristine aromas of toasted almond, stone fruit, cassis and white pepper.
Vieilles Vignes;285;Vanilla, cedar and plum cake aromas, licorice, plum, and cocoa on the palate have a lot to recommend them, while the muscular midpalate and firmness of the tannins on the finish suggest agreeability but not much charm. Old-vine Grenache (80%, the balance is Syrah) aged in old oak casks has resulted in a wine textured like heavy cream or velvet, with the merest hints of vanilla and cedar to the cherry fruit. Dark and concentrated but simultaneously fresh and juicy, this blend of 65% Syrah and 35% Grenache offers heady notes of black cherry, plum and raspberry accented by hints of game and tree bark.
Crianza;312;The nose offers up spice and berry aromas along with some buttery oak, and that creamy woodiness carries onto the palate and blends well with juicy, crisp red fruit flavors that are representative of the vintage and region. A fresh snap of acidity keeps weighty fruit and oak tannins in check, while raspberry, plum, pepper and bitter espresso flavors roll onto a seamless finish with black pepper and additional bitter notes. With fresh raspberry aromas, zesty acidity and earthy flavors of red berry and spice offset by cocoa and vanilla, this is akin to Bordeaux and it should go nicely with most kinds of food.
Estate Bottled;318;"John Chiarito is the first American to petition for the right to label his wine Nero d'Avola, a variety he grows just outside of the town of Ukiah in eastern Mendocino and a nod to his family's Southern Italian heritage (the grape is native to Sicily). The Amador Zin specialist is offering its first ever Grenache here, a tremendous debut, super light in color and texture, lightly rendered to show off its layers of delicate violet and raspberry amid a meatier backbone of lurking anise and herbs. Heady plum and dark berry aromas give a warning of size and ripeness, and indeed there's a ton of ripe fruit to the palate; but the wine is also raw, untamed and lacking in mouthfeel."
Barrel sample;367;With its minty aroma and high proportion of new wood, this is a wine which shows polish, a smooth, wood-laden texture offering a wine that will probably age quickly. From a vineyard right on the edge of the city of Saint-Emilion, this is a rounded wine, packed with ripe and generous fruit, black cherries and velvet tannins. Although the aromas are heavily of wood, the fruit has a fresh lift, giving some spices, with a core of tannin coming through to finish with some juiciness.
Dry;380;Established in the early 70s by Ed O'Keefe Jr., this Michigan winery remains in the family to this day and maintains the founding father's focus on producing wines from 100% vinifera grapes in a region where hybrids might be the easier option. A pretty, floral wine, bright with melon and honey, straightforwardly lean and ready to drink at your next picnic, hike or ski trip, a great value for a solidly well-made wine with texture to pair with charcuterie, falafel or spiced chickpeas. Salmon-peach in color this rosé is made from 87% Cabernet Sauvignon, 10% Malbec and 10% Pinot Noir, the end result of which is a thirst-quenching array of pineapple and papaya aromas and flavors in a crisp, straightforward package.
Brut;474;A blend of 80% Pinot Nero and 20% Chardonnay, this vibrant sparkler offers delicate, appealing aromas of apple, mature pear, toast and bread crust that carry over to the expressive palate along with a note of citrus zest. A blend of Chenin Blanc, Cabernet Franc and Chardonnay, this is a round, mouthfilling sparkling wine with ripe apple flavors layered with grapefruit acidity and a tight, final texture that is crisp and mineral. Made mostly from Chardonnay, with a touch of Pinot Noir, this is so rich and creamy, it's like satin gliding across the mouth, carrying waves of lemon- and lime-infused buttercream, brioche and a smoky flavor.
Estate Grown;567;High in acidity and low in oak, at least on the palate, and indeed aged in a majority of neutral French barrels, this wine is bright in lemon and green apple, with a suggestion of mango, falling somewhat flat on the finish. A larger offering from the producer from a selection of sites, this shows a prowess of blending in its grippy, classic elements of black pepper and currant, a focused display of savory edges around elusive fruit that makes for a compelling experience. Exotic wafts of almond and lemongrass make way for an intensity of lemon pith and grapefruit in this wholly satisfying, well-crafted and refreshingly complex white, a sure sign that this variety can thrive in the appellation.
Riserva;647;Bright and light at first almost like a California Pinot Noir, with red fruit and cola paying a visit, the blend of mostly Sangiovese (79%), 20% Barbera and 5% Petit Verdot drinks big and full with a rustic finish. Black pepper, espresso, dark berries and woody herbs show on the nose of this blend of 45% Cabernet Sauvignon, 30% Sangiovese, 13% Petit Verdot, 6% Merlot and 6% Freisa from the Los Alamos and Valley View Vineyards. Not an obvious wine by any stretch, this riserva opens slowly and bashfully to deliver small pulses of cherry, chocolate and smoked bacon that build in intensity and power as the wine gains momentum in the glass.
Reserva;1176;"Aromas of Christmas spice, pepper and dried fruit fall more into the traditional category than modern, while the palate is snappy, a little lean and delivers strawberry and raspberry fruit with a light buttery oak note. The fruit here is ripe and lush, with plenty of herbal essence, and for every drop of plum or black cherry there's a balancing hint of green herb and bell pepper, which does not signal underripeness. An improvement over the dull, mulchy 2005; this wine is still a little earthy, heavy and gaseous out of the bottle but with airing it offers ripe strawberry and plum flavors with licorice and tree-bark accents."
Estate;1223;From vines now a dozen years old, this unusual Walla Walla AVA Sauvignon Blanc is a brilliant straw color—aromatic with light scents of ripe grain and tangy fruits, and fills the mouth with delicious flavors of melon, white peach, lemon verbena and a dash of pepper. This has really evolved over the past 10 months since I tasted it at the winery, going from crisp and pineapple-y then to more honeyed and tropical now, with opulent layers of peach and mango that coat the mouth on the long finish. Either this producer is one of the most honest when it comes to listing alcohol levels or this is as close to Port as it gets, a Primitivo that's got some cherry brightness to it, but gets bogged down by its own bigness.
Reserve;1871;With serious structure and a firm grip, this 100% Cabernet from Livermore's vaulty Concannon is a very impressive effort from a strong vintage that's easy drinking and well integrated, tasting great right now with plenty of rich tannins, pleasing blueberry and cassis with a shot of chocolate on the finish for good measure. Deep and dark in color, this unusual Lodi bottling of Teroldego, an ancient Italian variety akin to California Zinfandel, is a beast of rich red fruit and chocolate mocha, still robustly tannic and a tad smoky, able to definitely lie down in darkness for several more years. A soft, feminine nose of toasted oak and round fruit on the nose, and a flavor profile of balanced fruit and acid on the palate, make this a good white for both cold weather, serious meals and just sipping on the patio in warmer months.
